date,year,temperature,min_temperature,max_temperature,season_year,season,day_in_season
1864-09-15,1864,15.2,,,1864,4,15
1864-09-16,1864,17.6,,,1864,4,16
1864-09-17,1864,15.4,,,1864,4,17
1864-09-18,1864,13.6,,,1864,4,18
1864-09-19,1864,14.5,,,1864,4,19
1864-09-20,1864,11.5,,,1864,4,20
1864-09-21,1864,11.3,,,1864,4,21
1864-09-22,1864,14.4,,,1864,4,22
1864-09-23,1864,14.4,,,1864,4,23
1864-09-24,1864,13.2,,,1864,4,24
1864-09-25,1864,14.1,,,1864,4,25
1864-09-26,1864,12.6,,,1864,4,26
1864-09-27,1864,10.1,,,1864,4,27
1864-09-28,1864,10.9,,,1864,4,28
1864-09-29,1864,13.2,,,1864,4,29
1864-09-30,1864,11.9,,,1864,4,30
1864-10-01,1864,10.8,,,1864,4,31
1864-10-02,1864,8.6,,,1864,4,32
1864-10-03,1864,6.6,,,1864,4,33
1864-10-04,1864,5.7,,,1864,4,34
1864-10-05,1864,4.4,,,1864,4,35
1864-10-06,1864,6.1,,,1864,4,36
1864-10-07,1864,4.8,,,1864,4,37
1864-10-08,1864,5.5,,,1864,4,38
1864-10-09,1864,5.8,,,1864,4,39
1864-10-10,1864,7.4,,,1864,4,40
1864-10-11,1864,7.0,,,1864,4,41
1864-10-12,1864,9.2,,,1864,4,42
1864-10-13,1864,9.5,,,1864,4,43
1864-10-14,1864,8.5,,,1864,4,44
1864-10-15,1864,6.7,,,1864,4,45
1864-10-16,1864,4.1,,,1864,4,46
1864-10-17,1864,5.7,,,1864,4,47
1864-10-18,1864,9.8,,,1864,4,48
1864-10-19,1864,11.9,,,1864,4,49
1864-10-20,1864,11.1,,,1864,4,50
1864-10-21,1864,10.8,,,1864,4,51
1864-10-22,1864,12.6,,,1864,4,52
1864-10-23,1864,12.4,,,1864,4,53
1864-10-24,1864,10.2,,,1864,4,54
1864-10-25,1864,10.3,,,1864,4,55
1864-10-26,1864,9.9,,,1864,4,56
1864-10-27,1864,10.1,,,1864,4,57
1864-10-28,1864,7.5,,,1864,4,58
1864-10-29,1864,8.6,,,1864,4,59
1864-10-30,1864,7.6,,,1864,4,60
1864-10-31,1864,6.0,,,1864,4,61
1864-11-01,1864,7.3,,,1864,4,62
1864-11-02,1864,10.0,,,1864,4,63
1864-11-03,1864,5.8,,,1864,4,64
1864-11-04,1864,4.4,,,1864,4,65
1864-11-05,1864,4.1,,,1864,4,66
1864-11-06,1864,3.1,,,1864,4,67
1864-11-07,1864,-0.1,,,1864,4,68
1864-11-08,1864,-1.4,,,1864,4,69
1864-11-09,1864,-1.3,,,1864,4,70
1864-11-10,1864,1.8,,,1864,4,71
1864-11-11,1864,0.8,,,1864,4,72
1864-11-12,1864,4.4,,,1864,4,73
1864-11-13,1864,5.1,,,1864,4,74
1864-11-14,1864,11.3,,,1864,4,75
1864-11-15,1864,9.3,,,1864,4,76
1864-11-16,1864,7.8,,,1864,4,77
1864-11-17,1864,6.3,,,1864,4,78
1864-11-18,1864,6.9,,,1864,4,79
1864-11-19,1864,4.3,,,1864,4,80
1864-11-20,1864,4.5,,,1864,4,81
1864-11-21,1864,6.5,,,1864,4,82
1864-11-22,1864,7.2,,,1864,4,83
1864-11-23,1864,6.4,,,1864,4,84
1864-11-24,1864,6.0,,,1864,4,85
1864-11-25,1864,4.4,,,1864,4,86
1864-11-26,1864,6.4,,,1864,4,87
1864-11-27,1864,5.1,,,1864,4,88
1864-11-28,1864,1.6,,,1864,4,89
1864-11-29,1864,2.8,,,1864,4,90
1864-11-30,1864,1.6,,,1864,4,91
1864-12-01,1864,1.8,,,1865,1,1
1864-12-02,1864,2.2,,,1865,1,2
1864-12-03,1864,1.4,,,1865,1,3
1864-12-04,1864,-1.7,,,1865,1,4
1864-12-05,1864,-1.1,,,1865,1,5
1864-12-06,1864,-0.6,,,1865,1,6
1864-12-07,1864,-2.7,,,1865,1,7
1864-12-08,1864,-2.0,,,1865,1,8
1864-12-09,1864,0.2,,,1865,1,9
1864-12-10,1864,0.3,,,1865,1,10
1864-12-11,1864,0.4,,,1865,1,11
1864-12-12,1864,-1.6,,,1865,1,12
1864-12-13,1864,-2.0,,,1865,1,13
1864-12-14,1864,-1.7,,,1865,1,14
1864-12-15,1864,-1.5,,,1865,1,15
1864-12-16,1864,0.2,,,1865,1,16
1864-12-17,1864,0.3,,,1865,1,17
1864-12-18,1864,-1.3,,,1865,1,18
1864-12-19,1864,0.6,,,1865,1,19
1864-12-20,1864,2.4,,,1865,1,20
1864-12-21,1864,3.5,,,1865,1,21
1864-12-22,1864,1.5,,,1865,1,22
